article_no,selling_price,inventory_quantity,inventory_value,4_weeks_sales,MOI,country
11019,17.99,102,1834.98,65,1.57,USA
11052,8.99,389,3497.11,1,389,USA
11633,79.99,0,0,144,0,USA
18026,9.99,9,89.91,81,0.14,USA
11648,44.99,112,5038.88,15,7.47,USA
18025,9.99,66,659.34,26,2.58,USA
11444,7.99,47,375.53,7,6.71,USA
11574,9.99,67,669.33,13,5.15,USA
11670,19.99,97,1939.03,71,1.39,USA
11447,39.99,216,8637.84,76,3.11,USA
11449,39.99,178,7118.22,123,1.7,USA
11665,19.99,97,1939.03,44,3.11,USA
11663,44.99,53,2384.47,28,1.89,USA
11668,19.99,34,679.66,1,34,USA
11689,39.99,93,3719.07,170,0.57,USA
11529,6.99,1420,9925.8,1059,1.93,USA
11508,13.99,178,2490.22,0,99998,USA
11573,29.99,29,869.71,13,2.23,USA
11048,49.99,45,2249.55,0,99998,USA
11694,24.99,36,899.64,20,1.8,USA
11541,29.99,76,2279.24,53,1.43,USA
11607,24.99,141,3523.59,78,1.81,USA
18040,9.99,35,349.65,10,3.5,USA
18037,9.99,69,689.31,65,1.09,USA
18038,9.99,0,0,0,0,USA
11543,34.99,104,3638.96,22,4.73,USA
11687,7.99,258,2061.42,9,28.67,USA
11507,14.99,0,0,5,0,USA
11696,17.99,45,809.55,20,2.25,USA
10788,19.99,18,359.82,2,9,USA
11510,19.99,26,519.74,2,13,USA
11595,16.99,37,628.63,2,18.5,USA
11575,44.99,28,1259.72,15,1.87,USA
11614,69.99,12,839.88,3,4,USA
11590,49.99,12,599.88,3,4,USA
11636,49.99,8,399.92,3,2.67,USA
11263,21.99,36,791.64,2,18,USA
11182,19.99,29,579.71,1,29,USA
18047,9.99,0,0,1,0,USA
18046,9.99,53,529.47,28,1.96,USA
18049,9.99,0,0,0,0,USA
11062,49.99,24,1199.76,16,1.5,USA
11703,9.99,75,749.25,190,0.44,USA
11350,49.99,62,3099.38,35,1.77,USA
18043,34.99,0,0,0,0,USA
18055,34.99,0,0,0,0,USA
11680,34.99,57,1994.43,13,4.38,USA
11684,29.99,195,5848.05,130,1.58,USA
11458,24.99,36,899.64,65,1.43,USA
11751,79.99,37,2959.63,27,1.37,USA
11712,29.99,12,359.88,2,6,USA
11724,11.99,55,659.45,32,1.72,USA
11562,19.99,30,599.7,15,2.07,USA
11354,69.99,1331,93156.69,296,4.16,USA
18010,9.99,79,789.21,60,1.32,USA
11771,15.99,10,159.9,2,5,USA
11748,19.99,9,179.91,0,99998,USA
11709,19.99,38,759.62,1,38,USA
11596,44.99,15,674.85,0,99998,USA
11711,24.99,32,799.68,5,6.4,USA
11715,34.99,19,664.81,2,9.5,USA
11288,24.99,40,999.6,0,99998,USA
11798,29.99,190,5698.1,3,63.33,USA
11804,49.99,104,5198.96,0,99998,USA
11810,29.99,54,1619.46,0,99998,USA
11726,19.99,118,2358.82,57,2.12,USA
11729,24.99,165,4123.35,136,1.62,USA
10917,59.99,107,6418.93,2,53.5,USA
11705,17.99,201,3615.99,12,16.75,USA
11738,19.99,132,2638.68,105,1.6,USA
11776,17.99,105,1888.95,8,13.13,USA
11797,5.99,68,407.32,0,99998,USA
11791,22.99,0,0,0,0,USA
11765,4.99,157,783.43,0,99998,USA
11796,4.99,68,339.32,1,68,USA
11764,4.99,86,429.14,6,14.33,USA
11372,19.99,18,359.82,1,18,USA
