sku,article_no,selling_price,inventory_quantity,4_weeks_sales,status,factory,MOI,PO,ETA,market,DUS_quantity,total_cost,MOQ,inventory_value
PB-107PCH-11890,11890,24.99,6,3.0,STD,CEZ,2.0,,,DE,0.0,8.91,20.0,
PB-407BCH-11873,11873,9.99,10,0.0,STD,CEZ,99998.0,,,DE,24.0,8.65,20.0,
PB-407BTR-11872,11872,19.99,6,1.0,STD,CEZ,6.0,,,DE,0.0,8.65,20.0,
PB-407BRU-11874,11874,14.99,6,0.0,STD,CEZ,99998.0,,,DE,0.0,8.65,20.0,
PB-330US-11700,11700,39.99,4,4.0,STD,Togran,1.0,,,DE,764.0,19.29,1000.0,
PB-407WTR-11878,11878,14.99,1,0.0,STD,CEZ,99998.0,,,DE,0.0,8.65,20.0,
PB-407WCH-11879,11879,9.99,18,0.0,STD,CEZ,99998.0,,,DE,18.0,8.65,20.0,
PD-707WCH-11929,11929,24.99,9,1.0,STD,CEZ,9.0,,,DE,3.0,15.05,20.0,
PB-613BDE-11805,11805,24.99,20,16.0,STD,Chicony,1.25,,,DE,271.0,20.9,504.0,
PB-413BDE-11799,11799,24.99,23,19.0,STD,Chicony,1.21,,,DE,496.0,12.89,504.0,
PB-409PWUS-11829,11829,19.99,2,6.0,STD,Togran,0.33,,,DE,709.0,5.68,1000.0,
PB-413WUS-11810,11810,34.99,4,0.0,STD,Chicony,99998.0,,,DE,222.0,12.89,504.0,
PB-613WUS-11811,11811,39.99,6,1.0,EOL,Chicony,6.0,,,DE,458.0,20.9,504.0,
PB-613BUS-11804,11804,39.99,8,5.0,STD,Chicony,1.6,,,DE,822.0,20.9,504.0,
PB-413BUS-11798,11798,29.99,4,5.0,STD,Chicony,0.8,,,DE,349.0,12.89,504.0,
PPR-512-11766,11766,19.99,13,0.0,STD,TTX,99998.0,,,DE,982.0,7.35,1000.0,
PB-208BTR-11860,11860,14.99,12,0.0,STD,CEZ,99998.0,,,DE,5.0,8.35,20.0,
PB-208BCH-11861,11861,9.99,4,1.0,STD,CEZ,4.0,,,DE,9.0,8.35,20.0,
PB-208WTR-11866,11866,14.99,10,0.0,STD,CEZ,99998.0,,,DE,0.0,8.35,20.0,
PD-303WCH-11896,11896,24.99,2,8.0,STD,CEZ,0.63,,,DE,4.0,11.01,20.0,
PD-307BCH-11931,11931,9.99,5,3.0,STD,CEZ,1.67,,,DE,9.0,11.21,20.0,
PB-512BND-11761,11761,34.99,4,1.0,STD,CEZ,4.0,,,DE,10.0,15.05,18.0,
PB-512WND-11762,11762,29.99,6,1.0,STD,CEZ,6.0,,,DE,11.0,15.25,18.0,
PB-612WND-11767,11767,44.99,6,1.0,STD,CEZ,6.0,,,DE,12.0,22.07,18.0,
PD-307BND-11964,11964,14.99,16,1.0,STD,CEZ,16.0,,,DE,18.0,11.21,20.0,
PD-707BND-11965,11965,24.99,1,3.0,STD,CEZ,0.33,,,DE,10.0,15.05,20.0,
PD-707WND-11966,11966,24.99,8,1.0,STD,CEZ,8.0,,,DE,20.0,14.93,20.0,
PB-208WCH-11867,11867,9.99,6,4.0,STD,CEZ,1.5,,,DE,0.0,8.35,20.0,
PD-606CUS-11660,11660,59.99,11,1.0,STD,Togran,11.0,,,DE,9.0,18.99,1000.0,
PB-805EUS-11680,11680,34.99,18,6.0,STD,BOW,3.0,,,DE,11.0,15.13,500.0,
PB-107PWDE-11841,11841,24.99,64,18.0,EOL,Chicony,3.56,,,DE,42.0,6.89,500.0,
PB-107WPUS-11839,11839,29.99,8,0.0,EOL,Chicony,99998.0,,,DE,0.0,6.89,500.0,
PB-213WUS-11958,11958,16.99,6,3.0,STD,BOW,2.0,500.0,2023-02-16,DE,18.0,6.6,500.0,
PM-520W-11923,11923,29.99,26,12.0,STD,Togran,2.58,,,DE,691.0,14.02,2000.0,
PM-720W-11924,11924,29.99,32,6.0,STD,Togran,5.33,,,DE,693.0,15.64,2000.0,
PPR-801-11904,11904,34.99,12,0.0,STD,Togran,99998.0,,,DE,492.0,13.79,2000.0,
PB-609BDE-11837,11837,12.99,47,41.0,STD,Togran,1.17,,,DE,333.0,7.85,1000.0,
PPR-101-11943,11943,7.99,1,24.0,STD,TTX,0.13,,,DE,610.0,2.75,1000.0,
PB-413WDE-11996,11996,24.99,8,6.0,STD,CEZ,1.33,,,DE,28.0,14.37,18.0,
PB-613WDE-11997,11997,14.99,0,0.0,EOL,CEZ,0.0,,,DE,0.0,21.02,18.0,
PB-106MND-11760,11760,34.99,0,6.0,NEW,CEZ,0.0,,,DE,20.0,10.55,20.0,
PD-713BLUS-11909,11909,39.99,6,8.0,STD,SQT,0.75,500.0,2023-02-16,DE,9.0,11.94,500.0,
PD-713PPUS-11953,11953,39.99,14,0.0,STD,SQT,99998.0,,,DE,167.0,11.94,500.0,
PPR-411-11908,11908,7.99,23,0.0,STD,TTX,99998.0,,,DE,1529.0,5.57,1000.0,
PM-803A-11907,11907,14.99,13,4.0,STD,BOW,3.25,,,DE,531.0,8.69,1000.0,
PM-713NW-11937,11937,24.99,0,113.0,STD,Togran,0.0,,,DE,8.0,7.19,2000.0,
PD-707WBE-11928,11928,24.99,11,0.0,STD,CEZ,99998.0,,,DE,12.0,15.05,20.0,
PB-613BND-11999,11999,29.99,6,0.0,NEW,CEZ,99998.0,,,DE,0.0,21.65,18.0,
PB-613WND-11998,11998,29.99,0,1.0,EOL,CEZ,0.0,,,DE,0.0,21.02,18.0,
PB-106BDE-11202,11202,24.99,26,1.0,STD,CEZ,26.0,,,DE,17.0,10.35,20.0,
PB-422US-N11670,11670,16.99,2,3.0,STD,SQT,1.33,440.0,2023-02-16,DE,323.0,3.97,500.0,
PB-519AUS-11993,11993,49.99,11,1.0,STD,LT,11.0,,,DE,100.0,27.46,300.0,
PB-522BDE-11659,11659,99.99,12,10.0,STD,Togran,1.2,,,DE,105.0,42.75,1000.0,
PB-328RDUS-11935,11935,29.99,13,6.0,STD,Togran,2.17,,,DE,213.0,40.43,1000.0,
PD-406AUS-11669,11669,49.99,4,1.0,STD,Togran,4.0,,,DE,317.0,19.64,1000.0,
PB-331BDE-11900,11900,49.99,76,55.0,STD,BOW,1.53,,,DE,62.0,12.76,500.0,
PB-718BDE-11946,11946,24.99,50,42.0,STD,BOW,1.29,,,DE,223.0,14.96,500.0,
PB-432BDE-11786,11786,19.99,66,14.0,STD,BOW,4.79,,,DE,213.0,7.05,500.0,
PM-209C-11994,11994,12.99,55,159.0,STD,Intech,0.33,3000.0,2023-02-16,DE,15.0,2.97,5000.0,
PB-333BDE-11619,11619,29.99,33,10.0,STD,BOW,3.3,,,DE,172.0,11.23,500.0,
PB-718BUS-11944,11944,19.99,14,7.0,STD,BOW,2.0,,,DE,382.0,14.96,500.0,
PB-333BUS-11618,11618,29.99,14,6.0,STD,BOW,2.33,,,DE,506.0,11.23,500.0,
PB-331BUS-11902,11902,34.99,3,2.0,STD,BOW,1.5,,,DE,649.0,12.76,500.0,
PB-432BUS-11679,11679,19.99,14,2.0,STD,BOW,7.0,,,DE,301.0,7.05,500.0,
PB-732BUS-11950,11950,27.99,16,9.0,STD,BOW,1.78,,,DE,44.0,11.99,500.0,
PB-332BDE-11949,11949,29.99,61,36.0,STD,BOW,1.69,,,DE,320.0,9.25,500.0,
PB-332US-11947,11947,29.99,18,1.0,STD,BOW,18.0,,,DE,56.0,9.25,500.0,
PD-606ADE-11968,11968,59.99,77,85.0,STD,Togran,1.02,,,DE,360.0,23.1,1000.0,
PB-213WDE-11960,11960,24.99,81,27.0,STD,BOW,3.0,,,DE,36.0,6.6,500.0,
PB-733BUS-11653,11653,24.99,20,6.0,STD,BOW,3.33,,,DE,287.0,13.53,500.0,
PM-819-12013,12013,34.99,65,39.0,STD,Togran,1.67,,,DE,742.0,13.16,2000.0,
PM-813B-11983,11983,29.99,67,47.0,STD,Togran,1.43,,,DE,389.0,9.53,2000.0,
